index,distanz_m,notiz,shutter,gain,timestamp
0,0.8,"80cm frontal, neuer Mount",10000,1.0,2026-09-14T09:53:03
1,,links im Bild,10000,1.0,2026-09-14T09:56:40
2,,rechts im Bild,10000,1.0,2026-09-14T09:57:30
3,,"weit, mittig",10000,1.0,2026-09-14T09:58:28
4,,"weit, links im Bild",10000,1.0,2026-09-14T09:59:27
5,,"nah, mittig",10000,1.0,2026-09-14T10:00:14
6,,"mittig, geschraegt",10000,1.0,2026-09-14T10:00:44
7,,"oben im Bild, geschraegt",10000,1.0,2026-09-14T10:09:45
8,,"weit, geschraegt",10000,1.0,2026-09-14T10:10:29
9,,"rechts, weit, geschraegt",10000,1.0,2026-09-14T10:11:15
10,,"nah, rechts, geschraegt",10000,1.0,2026-09-14T10:11:57
11,,"nah, links, geschraegt",10000,1.0,2026-09-14T10:14:02
