index,notiz,shutter,gain,timestamp
0,live frame 0,1500,8.0,2026-09-17T12:28:15
1,live frame 1,1500,8.0,2026-09-17T12:28:19
2,live frame 2,1500,8.0,2026-09-17T12:28:23
3,live frame 3,1500,8.0,2026-09-17T12:28:26
4,live frame 4,1500,8.0,2026-09-17T12:28:30
5,live frame 5,1500,8.0,2026-09-17T12:28:34
6,live frame 6,1500,8.0,2026-09-17T12:28:38
7,live frame 7,1500,8.0,2026-09-17T12:28:42
8,live frame 8,1500,8.0,2026-09-17T12:28:46
9,live frame 9,1500,8.0,2026-09-17T12:28:50
10,live frame 10,1500,8.0,2026-09-17T12:28:53
11,live frame 11,1500,8.0,2026-09-17T12:28:57
12,live frame 12,1500,8.0,2026-09-17T12:29:01
13,live frame 13,1500,8.0,2026-09-17T12:29:05
14,live frame 14,1500,8.0,2026-09-17T12:29:09
15,live frame 15,1500,8.0,2026-09-17T12:29:13
16,live frame 16,1500,8.0,2026-09-17T12:29:17
17,live frame 17,1500,8.0,2026-09-17T12:29:21
18,live frame 18,1500,8.0,2026-09-17T12:29:25
19,live frame 19,1500,8.0,2026-09-17T12:29:28
20,live frame 20,1500,8.0,2026-09-17T12:29:32
21,live frame 21,1500,8.0,2026-09-17T12:29:36
22,live frame 22,1500,8.0,2026-09-17T12:29:40
23,live frame 23,1500,8.0,2026-09-17T12:29:44
24,live frame 24,1500,8.0,2026-09-17T12:29:48
25,live frame 25,1500,8.0,2026-09-17T12:29:52
26,live frame 26,1500,8.0,2026-09-17T12:29:56
27,live frame 27,1500,8.0,2026-09-17T12:30:00
28,live frame 28,1500,8.0,2026-09-17T12:30:04
29,live frame 29,1500,8.0,2026-09-17T12:30:08
30,live frame 30,1500,8.0,2026-09-17T12:30:12
31,live frame 31,1500,8.0,2026-09-17T12:30:16
32,live frame 32,1500,8.0,2026-09-17T12:30:19
33,live frame 33,1500,8.0,2026-09-17T12:30:23
34,live frame 34,1500,8.0,2026-09-17T12:30:27
35,live frame 35,1500,8.0,2026-09-17T12:30:31
36,live frame 36,1500,8.0,2026-09-17T12:30:35
37,live frame 37,1500,8.0,2026-09-17T12:30:39
38,live frame 38,1500,8.0,2026-09-17T12:30:43
39,live frame 39,1500,8.0,2026-09-17T12:30:47
40,live frame 40,1500,8.0,2026-09-17T12:30:51
41,live frame 41,1500,8.0,2026-09-17T12:30:55
42,live frame 42,1500,8.0,2026-09-17T12:30:59
43,live frame 43,1500,8.0,2026-09-17T12:31:02
