index,notiz,shutter,gain,timestamp
0,live frame 0,1500,8.0,2026-09-21T12:14:54
1,live frame 1,1500,8.0,2026-09-21T12:14:58
2,live frame 2,1500,8.0,2026-09-21T12:15:02
3,live frame 3,1500,8.0,2026-09-21T12:15:06
4,live frame 4,1500,8.0,2026-09-21T12:15:10
5,live frame 5,1500,8.0,2026-09-21T12:15:14
6,live frame 6,1500,8.0,2026-09-21T12:15:18
7,live frame 7,1500,8.0,2026-09-21T12:15:22
8,live frame 8,1500,8.0,2026-09-21T12:15:26
9,live frame 9,1500,8.0,2026-09-21T12:15:29
10,live frame 10,1500,8.0,2026-09-21T12:15:33
11,live frame 11,1500,8.0,2026-09-21T12:15:37
12,live frame 12,1500,8.0,2026-09-21T12:15:41
13,live frame 13,1500,8.0,2026-09-21T12:15:45
14,live frame 14,1500,8.0,2026-09-21T12:15:49
15,live frame 15,1500,8.0,2026-09-21T12:15:53
16,live frame 16,1500,8.0,2026-09-21T12:15:57
17,live frame 17,1500,8.0,2026-09-21T12:16:01
18,live frame 18,1500,8.0,2026-09-21T12:16:05
19,live frame 19,1500,8.0,2026-09-21T12:16:08
20,live frame 20,1500,8.0,2026-09-21T12:16:12
21,live frame 21,1500,8.0,2026-09-21T12:16:16
22,live frame 22,1500,8.0,2026-09-21T12:16:20
23,live frame 23,1500,8.0,2026-09-21T12:16:24
24,live frame 24,1500,8.0,2026-09-21T12:16:28
25,live frame 25,1500,8.0,2026-09-21T12:16:32
26,live frame 26,1500,8.0,2026-09-21T12:16:36
27,live frame 27,1500,8.0,2026-09-21T12:16:40
28,live frame 28,1500,8.0,2026-09-21T12:16:44
29,live frame 29,1500,8.0,2026-09-21T12:16:47
30,live frame 30,1500,8.0,2026-09-21T12:16:51
31,live frame 31,1500,8.0,2026-09-21T12:16:55
32,live frame 32,1500,8.0,2026-09-21T12:16:59
33,live frame 33,1500,8.0,2026-09-21T12:17:03
34,live frame 34,1500,8.0,2026-09-21T12:17:07
35,live frame 35,1500,8.0,2026-09-21T12:17:11
36,live frame 36,1500,8.0,2026-09-21T12:17:15
37,live frame 37,1500,8.0,2026-09-21T12:17:19
38,live frame 38,1500,8.0,2026-09-21T12:17:23
39,live frame 39,1500,8.0,2026-09-21T12:17:27
40,live frame 40,1500,8.0,2026-09-21T12:17:31
41,live frame 41,1500,8.0,2026-09-21T12:17:35
42,live frame 42,1500,8.0,2026-09-21T12:17:39
43,live frame 43,1500,8.0,2026-09-21T12:17:43
44,live frame 44,1500,8.0,2026-09-21T12:17:47
45,live frame 45,1500,8.0,2026-09-21T12:17:51
46,live frame 46,1500,8.0,2026-09-21T12:17:55
47,live frame 47,1500,8.0,2026-09-21T12:17:58
48,live frame 48,1500,8.0,2026-09-21T12:18:02
49,live frame 49,1500,8.0,2026-09-21T12:18:06
50,live frame 50,1500,8.0,2026-09-21T12:18:10
51,live frame 51,1500,8.0,2026-09-21T12:18:14
52,live frame 52,1500,8.0,2026-09-21T12:18:18
53,live frame 53,1500,8.0,2026-09-21T12:18:22
54,live frame 54,1500,8.0,2026-09-21T12:18:26
55,live frame 55,1500,8.0,2026-09-21T12:18:30
56,live frame 56,1500,8.0,2026-09-21T12:18:33
57,live frame 57,1500,8.0,2026-09-21T12:18:37
58,live frame 58,1500,8.0,2026-09-21T12:18:41
59,live frame 59,1500,8.0,2026-09-21T12:18:45
60,live frame 60,1500,8.0,2026-09-21T12:18:49
61,live frame 61,1500,8.0,2026-09-21T12:18:53
62,live frame 62,1500,8.0,2026-09-21T12:18:57
63,live frame 63,1500,8.0,2026-09-21T12:19:01
64,live frame 64,1500,8.0,2026-09-21T12:19:05
65,live frame 65,1500,8.0,2026-09-21T12:19:08
66,live frame 66,1500,8.0,2026-09-21T12:19:12
67,live frame 67,1500,8.0,2026-09-21T12:19:16
68,live frame 68,1500,8.0,2026-09-21T12:19:20
69,live frame 69,1500,8.0,2026-09-21T12:19:24
