index,notiz,shutter,gain,timestamp
0,live frame 0,1500,8.0,2026-09-21T12:50:12
1,live frame 1,1500,8.0,2026-09-21T12:50:14
2,live frame 2,1500,8.0,2026-09-21T12:50:16
3,live frame 3,1500,8.0,2026-09-21T12:50:17
4,live frame 4,1500,8.0,2026-09-21T12:50:19
5,live frame 5,1500,8.0,2026-09-21T12:50:21
6,live frame 6,1500,8.0,2026-09-21T12:50:23
7,live frame 7,1500,8.0,2026-09-21T12:50:25
8,live frame 8,1500,8.0,2026-09-21T12:50:27
9,live frame 9,1500,8.0,2026-09-21T12:50:29
10,live frame 10,1500,8.0,2026-09-21T12:50:31
11,live frame 11,1500,8.0,2026-09-21T12:50:33
12,live frame 12,1500,8.0,2026-09-21T12:50:35
13,live frame 13,1500,8.0,2026-09-21T12:50:37
14,live frame 14,1500,8.0,2026-09-21T12:50:39
15,live frame 15,1500,8.0,2026-09-21T12:50:40
16,live frame 16,1500,8.0,2026-09-21T12:50:42
17,live frame 17,1500,8.0,2026-09-21T12:50:44
18,live frame 18,1500,8.0,2026-09-21T12:50:46
19,live frame 19,1500,8.0,2026-09-21T12:50:48
20,live frame 20,1500,8.0,2026-09-21T12:50:50
21,live frame 21,1500,8.0,2026-09-21T12:50:52
22,live frame 22,1500,8.0,2026-09-21T12:50:54
23,live frame 23,1500,8.0,2026-09-21T12:50:56
24,live frame 24,1500,8.0,2026-09-21T12:50:58
25,live frame 25,1500,8.0,2026-09-21T12:51:00
26,live frame 26,1500,8.0,2026-09-21T12:51:01
27,live frame 27,1500,8.0,2026-09-21T12:51:03
28,live frame 28,1500,8.0,2026-09-21T12:51:05
29,live frame 29,1500,8.0,2026-09-21T12:51:07
30,live frame 30,1500,8.0,2026-09-21T12:51:09
31,live frame 31,1500,8.0,2026-09-21T12:51:11
32,live frame 32,1500,8.0,2026-09-21T12:51:13
33,live frame 33,1500,8.0,2026-09-21T12:51:15
34,live frame 34,1500,8.0,2026-09-21T12:51:17
35,live frame 35,1500,8.0,2026-09-21T12:51:19
36,live frame 36,1500,8.0,2026-09-21T12:51:20
37,live frame 37,1500,8.0,2026-09-21T12:51:22
38,live frame 38,1500,8.0,2026-09-21T12:51:24
39,live frame 39,1500,8.0,2026-09-21T12:51:26
