index,notiz,shutter,gain,timestamp
0,live frame 0,1500,8.0,2026-09-23T11:43:37
1,live frame 1,1500,8.0,2026-09-23T11:43:39
2,live frame 2,1500,8.0,2026-09-23T11:43:41
3,live frame 3,1500,8.0,2026-09-23T11:43:43
4,live frame 4,1500,8.0,2026-09-23T11:43:45
5,live frame 5,1500,8.0,2026-09-23T11:43:46
6,live frame 6,1500,8.0,2026-09-23T11:43:48
7,live frame 7,1500,8.0,2026-09-23T11:43:50
8,live frame 8,1500,8.0,2026-09-23T11:43:52
9,live frame 9,1500,8.0,2026-09-23T11:43:54
10,live frame 10,1500,8.0,2026-09-23T11:43:56
11,live frame 11,1500,8.0,2026-09-23T11:43:58
12,live frame 12,1500,8.0,2026-09-23T11:43:59
13,live frame 13,1500,8.0,2026-09-23T11:44:01
14,live frame 14,1500,8.0,2026-09-23T11:44:03
15,live frame 15,1500,8.0,2026-09-23T11:44:05
16,live frame 16,1500,8.0,2026-09-23T11:44:07
17,live frame 17,1500,8.0,2026-09-23T11:44:09
18,live frame 18,1500,8.0,2026-09-23T11:44:11
19,live frame 19,1500,8.0,2026-09-23T11:44:13
20,live frame 20,1500,8.0,2026-09-23T11:44:15
21,live frame 21,1500,8.0,2026-09-23T11:44:16
22,live frame 22,1500,8.0,2026-09-23T11:44:18
23,live frame 23,1500,8.0,2026-09-23T11:44:20
24,live frame 24,1500,8.0,2026-09-23T11:44:22
25,live frame 25,1500,8.0,2026-09-23T11:44:24
26,live frame 26,1500,8.0,2026-09-23T11:44:26
27,live frame 27,1500,8.0,2026-09-23T11:44:28
28,live frame 28,1500,8.0,2026-09-23T11:44:30
29,live frame 29,1500,8.0,2026-09-23T11:44:32
30,live frame 30,1500,8.0,2026-09-23T11:44:34
31,live frame 31,1500,8.0,2026-09-23T11:44:36
32,live frame 32,1500,8.0,2026-09-23T11:44:37
33,live frame 33,1500,8.0,2026-09-23T11:44:39
34,live frame 34,1500,8.0,2026-09-23T11:44:41
35,live frame 35,1500,8.0,2026-09-23T11:44:43
36,live frame 36,1500,8.0,2026-09-23T11:44:45
37,live frame 37,1500,8.0,2026-09-23T11:44:48
38,live frame 38,1500,8.0,2026-09-23T11:44:50
39,live frame 39,1500,8.0,2026-09-23T11:44:52
40,live frame 40,1500,8.0,2026-09-23T11:44:54
41,live frame 41,1500,8.0,2026-09-23T11:44:56
42,live frame 42,1500,8.0,2026-09-23T11:44:58
43,live frame 43,1500,8.0,2026-09-23T11:45:00
44,live frame 44,1500,8.0,2026-09-23T11:45:01
45,live frame 45,1500,8.0,2026-09-23T11:45:03
46,live frame 46,1500,8.0,2026-09-23T11:45:05
47,live frame 47,1500,8.0,2026-09-23T11:45:07
48,live frame 48,1500,8.0,2026-09-23T11:45:09
49,live frame 49,1500,8.0,2026-09-23T11:45:11
50,live frame 50,1500,8.0,2026-09-23T11:45:13
