index,notiz,shutter,gain,timestamp
0,live frame 0,1500,8.0,2026-09-23T12:39:12
1,live frame 1,1500,8.0,2026-09-23T12:39:13
2,live frame 2,1500,8.0,2026-09-23T12:39:15
3,live frame 3,1500,8.0,2026-09-23T12:39:17
4,live frame 4,1500,8.0,2026-09-23T12:39:19
5,live frame 5,1500,8.0,2026-09-23T12:39:21
6,live frame 6,1500,8.0,2026-09-23T12:39:23
7,live frame 7,1500,8.0,2026-09-23T12:39:25
8,live frame 8,1500,8.0,2026-09-23T12:39:27
9,live frame 9,1500,8.0,2026-09-23T12:39:29
10,live frame 10,1500,8.0,2026-09-23T12:39:31
11,live frame 11,1500,8.0,2026-09-23T12:39:32
12,live frame 12,1500,8.0,2026-09-23T12:39:34
13,live frame 13,1500,8.0,2026-09-23T12:39:36
14,live frame 14,1500,8.0,2026-09-23T12:39:38
15,live frame 15,1500,8.0,2026-09-23T12:39:40
16,live frame 16,1500,8.0,2026-09-23T12:39:42
17,live frame 17,1500,8.0,2026-09-23T12:39:44
18,live frame 18,1500,8.0,2026-09-23T12:39:46
19,live frame 19,1500,8.0,2026-09-23T12:39:48
20,live frame 20,1500,8.0,2026-09-23T12:39:50
21,live frame 21,1500,8.0,2026-09-23T12:39:51
22,live frame 22,1500,8.0,2026-09-23T12:39:53
23,live frame 23,1500,8.0,2026-09-23T12:39:55
24,live frame 24,1500,8.0,2026-09-23T12:39:57
25,live frame 25,1500,8.0,2026-09-23T12:39:59
26,live frame 26,1500,8.0,2026-09-23T12:40:01
27,live frame 27,1500,8.0,2026-09-23T12:40:03
28,live frame 28,1500,8.0,2026-09-23T12:40:05
29,live frame 29,1500,8.0,2026-09-23T12:40:06
30,live frame 30,1500,8.0,2026-09-23T12:40:08
31,live frame 31,1500,8.0,2026-09-23T12:40:10
32,live frame 32,1500,8.0,2026-09-23T12:40:12
33,live frame 33,1500,8.0,2026-09-23T12:40:14
34,live frame 34,1500,8.0,2026-09-23T12:40:16
35,live frame 35,1500,8.0,2026-09-23T12:40:18
36,live frame 36,1500,8.0,2026-09-23T12:40:20
37,live frame 37,1500,8.0,2026-09-23T12:40:22
38,live frame 38,1500,8.0,2026-09-23T12:40:24
39,live frame 39,1500,8.0,2026-09-23T12:40:25
40,live frame 40,1500,8.0,2026-09-23T12:40:27
41,live frame 41,1500,8.0,2026-09-23T12:40:29
42,live frame 42,1500,8.0,2026-09-23T12:40:31
43,live frame 43,1500,8.0,2026-09-23T12:40:33
44,live frame 44,1500,8.0,2026-09-23T12:40:35
45,live frame 45,1500,8.0,2026-09-23T12:40:37
46,live frame 46,1500,8.0,2026-09-23T12:40:39
47,live frame 47,1500,8.0,2026-09-23T12:40:41
48,live frame 48,1500,8.0,2026-09-23T12:40:43
49,live frame 49,1500,8.0,2026-09-23T12:40:45
50,live frame 50,1500,8.0,2026-09-23T12:40:47
51,live frame 51,1500,8.0,2026-09-23T12:40:48
52,live frame 52,1500,8.0,2026-09-23T12:40:50
53,live frame 53,1500,8.0,2026-09-23T12:40:52
54,live frame 54,1500,8.0,2026-09-23T12:40:54
55,live frame 55,1500,8.0,2026-09-23T12:40:56
56,live frame 56,1500,8.0,2026-09-23T12:40:58
57,live frame 57,1500,8.0,2026-09-23T12:41:00
58,live frame 58,1500,8.0,2026-09-23T12:41:02
59,live frame 59,1500,8.0,2026-09-23T12:41:04
60,live frame 60,1500,8.0,2026-09-23T12:41:06
61,live frame 61,1500,8.0,2026-09-23T12:41:08
62,live frame 62,1500,8.0,2026-09-23T12:41:10
63,live frame 63,1500,8.0,2026-09-23T12:41:11
64,live frame 64,1500,8.0,2026-09-23T12:41:13
65,live frame 65,1500,8.0,2026-09-23T12:41:15
66,live frame 66,1500,8.0,2026-09-23T12:41:17
67,live frame 67,1500,8.0,2026-09-23T12:41:19
68,live frame 68,1500,8.0,2026-09-23T12:41:21
69,live frame 69,1500,8.0,2026-09-23T12:41:23
70,live frame 70,1500,8.0,2026-09-23T12:41:25
71,live frame 71,1500,8.0,2026-09-23T12:41:27
72,live frame 72,1500,8.0,2026-09-23T12:41:28
73,live frame 73,1500,8.0,2026-09-23T12:41:30
74,live frame 74,1500,8.0,2026-09-23T12:41:32
75,live frame 75,1500,8.0,2026-09-23T12:41:34
76,live frame 76,1500,8.0,2026-09-23T12:41:36
77,live frame 77,1500,8.0,2026-09-23T12:41:38
78,live frame 78,1500,8.0,2026-09-23T12:41:40
79,live frame 79,1500,8.0,2026-09-23T12:41:42
80,live frame 80,1500,8.0,2026-09-23T12:41:44
81,live frame 81,1500,8.0,2026-09-23T12:41:46
82,live frame 82,1500,8.0,2026-09-23T12:41:48
83,live frame 83,1500,8.0,2026-09-23T12:41:49
84,live frame 84,1500,8.0,2026-09-23T12:41:51
85,live frame 85,1500,8.0,2026-09-23T12:41:53
86,live frame 86,1500,8.0,2026-09-23T12:41:55
87,live frame 87,1500,8.0,2026-09-23T12:41:57
88,live frame 88,1500,8.0,2026-09-23T12:41:59
89,live frame 89,1500,8.0,2026-09-23T12:42:01
90,live frame 90,1500,8.0,2026-09-23T12:42:03
91,live frame 91,1500,8.0,2026-09-23T12:42:05
92,live frame 92,1500,8.0,2026-09-23T12:42:07
93,live frame 93,1500,8.0,2026-09-23T12:42:09
94,live frame 94,1500,8.0,2026-09-23T12:42:11
95,live frame 95,1500,8.0,2026-09-23T12:42:12
96,live frame 96,1500,8.0,2026-09-23T12:42:14
97,live frame 97,1500,8.0,2026-09-23T12:42:16
98,live frame 98,1500,8.0,2026-09-23T12:42:18
99,live frame 99,1500,8.0,2026-09-23T12:42:20
100,live frame 100,1500,8.0,2026-09-23T12:42:22
101,live frame 101,1500,8.0,2026-09-23T12:42:24
102,live frame 102,1500,8.0,2026-09-23T12:42:26
103,live frame 103,1500,8.0,2026-09-23T12:42:28
104,live frame 104,1500,8.0,2026-09-23T12:42:29
105,live frame 105,1500,8.0,2026-09-23T12:42:31
106,live frame 106,1500,8.0,2026-09-23T12:42:33
107,live frame 107,1500,8.0,2026-09-23T12:42:35
108,live frame 108,1500,8.0,2026-09-23T12:42:37
109,live frame 109,1500,8.0,2026-09-23T12:42:39
110,live frame 110,1500,8.0,2026-09-23T12:42:41
111,live frame 111,1500,8.0,2026-09-23T12:42:43
112,live frame 112,1500,8.0,2026-09-23T12:42:45
113,live frame 113,1500,8.0,2026-09-23T12:42:47
114,live frame 114,1500,8.0,2026-09-23T12:42:48
115,live frame 115,1500,8.0,2026-09-23T12:42:50
116,live frame 116,1500,8.0,2026-09-23T12:42:52
117,live frame 117,1500,8.0,2026-09-23T12:42:54
118,live frame 118,1500,8.0,2026-09-23T12:42:56
119,live frame 119,1500,8.0,2026-09-23T12:42:58
120,live frame 120,1500,8.0,2026-09-23T12:43:00
121,live frame 121,1500,8.0,2026-09-23T12:43:02
122,live frame 122,1500,8.0,2026-09-23T12:43:04
