index,notiz,shutter,gain,timestamp
0,live frame 0 (urspruenglich frame 2),1500,8.0,2026-09-23T12:57:24
1,live frame 1 (urspruenglich frame 3),1500,8.0,2026-09-23T12:57:26
2,live frame 2 (urspruenglich frame 4),1500,8.0,2026-09-23T12:57:28
3,live frame 3 (urspruenglich frame 5),1500,8.0,2026-09-23T12:57:30
4,live frame 4 (urspruenglich frame 6),1500,8.0,2026-09-23T12:57:32
5,live frame 5 (urspruenglich frame 7),1500,8.0,2026-09-23T12:57:34
6,live frame 6 (urspruenglich frame 8),1500,8.0,2026-09-23T12:57:35
7,live frame 7 (urspruenglich frame 9),1500,8.0,2026-09-23T12:57:37
8,live frame 8 (urspruenglich frame 10),1500,8.0,2026-09-23T12:57:39
9,live frame 9 (urspruenglich frame 11),1500,8.0,2026-09-23T12:57:41
10,live frame 10 (urspruenglich frame 12),1500,8.0,2026-09-23T12:57:43
11,live frame 11 (urspruenglich frame 13),1500,8.0,2026-09-23T12:57:45
12,live frame 12 (urspruenglich frame 14),1500,8.0,2026-09-23T12:57:47
13,live frame 13 (urspruenglich frame 15),1500,8.0,2026-09-23T12:57:49
14,live frame 14 (urspruenglich frame 16),1500,8.0,2026-09-23T12:57:51
15,live frame 15 (urspruenglich frame 17),1500,8.0,2026-09-23T12:57:52
16,live frame 16 (urspruenglich frame 18),1500,8.0,2026-09-23T12:57:54
17,live frame 17 (urspruenglich frame 19),1500,8.0,2026-09-23T12:57:56
18,live frame 18 (urspruenglich frame 20),1500,8.0,2026-09-23T12:57:58
19,live frame 19 (urspruenglich frame 21),1500,8.0,2026-09-23T12:58:00
20,live frame 20 (urspruenglich frame 22),1500,8.0,2026-09-23T12:58:02
21,live frame 21 (urspruenglich frame 23),1500,8.0,2026-09-23T12:58:04
22,live frame 22 (urspruenglich frame 24),1500,8.0,2026-09-23T12:58:06
23,live frame 23 (urspruenglich frame 25),1500,8.0,2026-09-23T12:58:08
24,live frame 24 (urspruenglich frame 26),1500,8.0,2026-09-23T12:58:10
25,live frame 25 (urspruenglich frame 27),1500,8.0,2026-09-23T12:58:11
26,live frame 26 (urspruenglich frame 28),1500,8.0,2026-09-23T12:58:13
27,live frame 27 (urspruenglich frame 29),1500,8.0,2026-09-23T12:58:15
28,live frame 28 (urspruenglich frame 30),1500,8.0,2026-09-23T12:58:17
29,live frame 29 (urspruenglich frame 31),1500,8.0,2026-09-23T12:58:19
30,live frame 30 (urspruenglich frame 32),1500,8.0,2026-09-23T12:58:21
31,live frame 31 (urspruenglich frame 33),1500,8.0,2026-09-23T12:58:23
32,live frame 32 (urspruenglich frame 34),1500,8.0,2026-09-23T12:58:25
33,live frame 33 (urspruenglich frame 35),1500,8.0,2026-09-23T12:58:27
34,live frame 34 (urspruenglich frame 36),1500,8.0,2026-09-23T12:58:29
35,live frame 35 (urspruenglich frame 37),1500,8.0,2026-09-23T12:58:31
36,live frame 36 (urspruenglich frame 38),1500,8.0,2026-09-23T12:58:32
37,live frame 37 (urspruenglich frame 39),1500,8.0,2026-09-23T12:58:34
38,live frame 38 (urspruenglich frame 40),1500,8.0,2026-09-23T12:58:36
39,live frame 39 (urspruenglich frame 41),1500,8.0,2026-09-23T12:58:38
40,live frame 40 (urspruenglich frame 42),1500,8.0,2026-09-23T12:58:40
41,live frame 41 (urspruenglich frame 43),1500,8.0,2026-09-23T12:58:42
42,live frame 42 (urspruenglich frame 44),1500,8.0,2026-09-23T12:58:44
43,live frame 43 (urspruenglich frame 45),1500,8.0,2026-09-23T12:58:46
44,live frame 44 (urspruenglich frame 46),1500,8.0,2026-09-23T12:58:48
45,live frame 45 (urspruenglich frame 47),1500,8.0,2026-09-23T12:58:49
46,live frame 46 (urspruenglich frame 48),1500,8.0,2026-09-23T12:58:51
47,live frame 47 (urspruenglich frame 49),1500,8.0,2026-09-23T12:58:53
48,live frame 48 (urspruenglich frame 50),1500,8.0,2026-09-23T12:58:55
49,live frame 49 (urspruenglich frame 51),1500,8.0,2026-09-23T12:58:57
50,live frame 50 (urspruenglich frame 52),1500,8.0,2026-09-23T12:58:59
